model_name,num_layers,num_parameters,worst_metric,non_monotone_layers,worst_degradation_pct,metrics_violated
wave1d-2-85-85-85-85-85-1-tanh,5,"29,581",Residual L2 (eval),2,988.4%,8
wave1d-2-70-70-70-70-70-1-tanh,5,"20,161",Residual L2 (eval),2,462.6%,8
wave1d-2-28-28-28-28-28-28-28-1-tanh,7,"4,985",IC L2 (eval),"2, 3, 4",203.8%,8
wave1d-2-36-36-36-36-36-1-tanh,5,"5,473",IC L2 (eval),3,74.5%,5
wave1d-2-40-40-40-40-40-40-40-1-tanh,7,"10,001",BC Value L2 (eval),"5, 6",36.1%,5
wave1d-2-58-58-58-58-58-58-58-1-tanh,7,"20,765",IC L2 (eval),"3, 5, 6",28.2%,4
wave1d-2-46-46-46-1-tanh,3,"4,509",NCC Accuracy,2,12.0%,1
